iteration,success,reg_time_ms,pdu_time_ms,total_attach_ms
,,,,
2,True,29.0,222.0,271.0
3,True,39.0,223.0,279.0
4,True,36.0,225.0,278.0
5,True,35.0,222.0,277.0
6,True,40.0,223.0,281.0
7,True,43.0,222.0,283.0
8,True,42.0,223.0,282.0
9,True,29.0,225.0,272.0
10,True,27.0,224.0,270.0
11,True,38.0,222.0,276.0
12,True,32.0,221.0,267.0
13,True,37.0,227.0,283.0
14,True,38.0,224.0,278.0
15,True,40.0,223.0,279.0
16,True,27.0,222.0,271.0
17,True,38.0,219.0,274.0
18,True,38.0,223.0,278.0
19,True,39.0,223.0,279.0
20,True,40.0,225.0,283.0
21,True,43.0,221.0,283.0
22,True,43.0,227.0,287.0
23,True,40.0,222.0,283.0
24,True,42.0,227.0,288.0
25,True,43.0,231.0,291.0
26,True,44.0,223.0,285.0
27,True,40.0,226.0,287.0
28,True,38.0,222.0,279.0
29,True,40.0,222.0,280.0
30,True,43.0,226.0,285.0
