iteration,n2_auth_ms,n2_security_ms,n4_session_ms,sbi_ausf_ms,sbi_udm_ms,sbi_smf_ms,sbi_pcf_ms,n2_ping_ms,n3_ping_ms
1,1.982,1.354,0.366,97.914,47.397,6.827,64.944,0.668,0.708
2,1.096,0.919,0.134,3.232,1.977,5.892,4.208,0.668,0.708
3,1.196,0.988,0.152,4.264,2.403,5.753,4.393,0.668,0.708
4,0.991,0.821,0.143,3.905,2.396,6.037,4.206,0.668,0.708
5,1.211,0.794,0.13,4.502,2.331,5.78,4.371,0.668,0.708
6,1.351,1.001,0.147,4.115,2.618,5.469,4.412,0.668,0.708
7,1.453,1.054,0.153,4.272,2.433,5.742,5.023,0.668,0.708
8,1.477,1.1,0.099,4.77,2.895,6.467,4.481,0.668,0.708
9,0.967,0.708,0.162,3.449,2.094,6.54,3.948,0.668,0.708
10,1.072,1.058,0.14,2.834,1.601,5.915,4.53,0.668,0.708
11,1.382,1.179,0.143,4.369,2.593,6.044,4.093,0.668,0.708
12,1.338,1.163,0.137,2.97,1.715,4.971,3.296,0.668,0.708
13,1.35,1.282,0.153,4.211,2.423,11.333,4.231,0.668,0.708
14,1.655,1.262,0.159,4.332,2.415,6.528,4.416,0.668,0.708
15,1.275,1.216,0.153,4.32,2.525,5.655,3.979,0.668,0.708
16,1.014,0.853,0.136,3.36,2.059,6.246,4.117,0.668,0.708
17,1.439,1.049,0.156,4.41,2.538,4.436,3.228,0.668,0.708
18,1.497,1.078,0.146,4.25,2.377,5.639,4.093,0.668,0.708
19,1.325,1.253,0.15,4.205,2.408,6.17,4.416,0.668,0.708
20,1.513,1.11,0.135,4.24,2.337,6.096,4.252,0.668,0.708
21,1.556,1.231,0.148,4.592,2.689,5.926,4.018,0.668,0.708
22,1.567,1.115,0.072,4.503,2.564,7.19,4.458,0.668,0.708
23,1.544,1.076,0.116,4.299,2.459,5.564,3.982,0.668,0.708
24,1.548,1.139,0.116,4.185,2.339,6.605,4.306,0.668,0.708
25,1.261,1.123,0.145,4.74,2.782,6.631,4.614,0.668,0.708
26,1.105,0.981,0.156,4.693,2.757,6.021,4.451,0.668,0.708
27,1.451,1.092,0.12,4.249,2.37,6.035,4.724,0.668,0.708
28,1.354,1.058,0.13,3.758,2.107,6.119,4.6,0.668,0.708
29,1.285,1.042,0.127,4.045,2.38,5.96,4.594,0.668,0.708
30,1.46,1.007,0.072,4.595,2.66,6.5,4.487,0.668,0.708
