iteration,amf_processing_ms,amf_waiting_ms,ausf_processing_ms,ausf_waiting_ms,udm_processing_ms,udm_waiting_ms,udr_processing_ms,smf_processing_ms,pcf_processing_ms,pcf_waiting_ms,upf_processing_ms,scp_forward_ms
,,,,,,,,,,,,
2,210.748,19.306,0.114,3.118,0.111,1.866,0.828,5.892,2.495,1.713,0.134,0.05
3,215.026,25.46,0.114,4.15,0.153,2.25,0.791,5.753,2.609,1.784,0.152,0.09
4,215.911,23.338,0.055,3.85,0.154,2.242,0.702,6.037,2.557,1.649,0.143,0.094
5,212.643,22.571,0.105,4.397,0.151,2.18,0.693,5.78,2.661,1.71,0.13,0.1
6,217.38,25.844,0.052,4.063,0.147,2.471,0.999,5.469,2.554,1.858,0.147,0.097
7,214.607,28.413,0.107,4.165,0.156,2.277,0.733,5.742,3.274,1.749,0.153,0.096
8,215.969,27.187,0.106,4.664,0.175,2.72,0.704,6.467,2.513,1.968,0.099,0.106
9,213.48,18.218,0.076,3.373,0.158,1.936,0.697,6.54,2.279,1.669,0.162,0.072
10,212.696,16.411,0.113,2.721,0.088,1.513,0.742,5.915,2.628,1.902,0.14,0.058
11,212.618,26.379,0.106,4.263,0.156,2.437,0.867,6.044,2.315,1.778,0.143,0.097
12,215.594,17.921,0.057,2.913,0.07,1.645,0.565,4.971,1.897,1.399,0.137,0.07
13,213.847,23.066,0.065,4.146,0.15,2.273,0.708,11.333,2.46,1.771,0.153,0.109
14,215.52,23.326,0.107,4.225,0.154,2.261,0.674,6.528,2.38,2.036,0.159,0.08
15,216.315,25.723,0.109,4.211,0.157,2.368,0.69,5.655,2.283,1.696,0.153,0.094
16,209.541,17.651,0.11,3.25,0.161,1.898,0.692,6.246,2.32,1.797,0.136,0.06
17,215.853,23.139,0.105,4.305,0.153,2.385,0.689,4.436,1.854,1.374,0.156,0.073
18,217.124,24.417,0.105,4.145,0.152,2.225,0.703,5.639,2.304,1.789,0.146,0.097
19,214.172,25.406,0.105,4.1,0.157,2.251,0.766,6.17,2.314,2.102,0.15,0.094
20,216.299,26.095,0.107,4.133,0.151,2.186,0.684,6.096,2.373,1.879,0.135,0.11
21,214.865,27.562,0.109,4.483,0.151,2.538,0.91,5.926,2.254,1.764,0.148,0.094
22,219.029,26.99,0.107,4.396,0.155,2.409,0.782,7.19,2.423,2.035,0.072,0.12
23,215.375,25.747,0.106,4.193,0.153,2.306,0.692,5.564,2.156,1.826,0.116,0.098
24,220.076,26.914,0.108,4.077,0.152,2.187,0.695,6.605,2.388,1.918,0.116,0.105
25,221.281,28.601,0.113,4.627,0.157,2.625,1.016,6.631,2.496,2.118,0.145,0.118
26,216.471,28.704,0.106,4.587,0.154,2.603,0.996,6.021,2.474,1.977,0.156,0.121
27,217.388,25.449,0.105,4.144,0.151,2.219,0.693,6.035,2.755,1.969,0.12,0.096
28,215.065,23.359,0.11,3.648,0.065,2.042,0.679,6.119,2.506,2.094,0.13,0.108
29,214.319,25.256,0.112,3.933,0.069,2.311,0.923,5.96,2.532,2.062,0.127,0.107
30,218.354,28.092,0.103,4.492,0.155,2.505,0.785,6.5,2.451,2.036,0.072,0.115
