iteration,success,reg_time_ms,pdu_time_ms,total_attach_ms
1,True,162.0,248.0,427.0
2,True,162.0,278.0,459.0
3,True,137.0,271.0,427.0
4,True,160.0,280.0,458.0
5,True,145.0,254.0,414.0
6,True,162.0,256.0,436.0
7,True,100.0,256.0,375.0
8,True,104.0,270.0,389.0
9,True,124.0,275.0,416.0
10,True,113.0,273.0,402.0
11,True,113.0,265.0,397.0
12,True,157.0,256.0,431.0
13,True,99.0,272.0,390.0
14,True,165.0,273.0,455.0
15,True,154.0,277.0,447.0
16,True,152.0,278.0,449.0
17,True,101.0,273.0,391.0
18,True,115.0,255.0,387.0
19,True,160.0,253.0,429.0
20,True,159.0,274.0,449.0
21,True,160.0,279.0,456.0
22,True,159.0,275.0,453.0
23,True,165.0,275.0,459.0
24,True,165.0,278.0,461.0
25,True,161.0,280.0,460.0
26,True,209.0,281.0,508.0
27,True,151.0,277.0,448.0
28,True,165.0,277.0,458.0
29,True,156.0,260.0,430.0
30,True,140.0,270.0,426.0
