iteration,n2_auth_ms,n2_security_ms,n4_session_ms,sbi_ausf_ms,sbi_udm_ms,sbi_smf_ms,sbi_pcf_ms,n2_ping_ms,n3_ping_ms
1,2.257,1.91,0.186,17.638,9.371,14.555,12.441,1.35,1.056
2,2.448,2.215,0.186,17.323,9.238,23.386,17.491,1.35,1.056
3,2.472,2.104,0.136,12.03,6.465,21.391,15.443,1.35,1.056
4,1.909,2.357,0.125,12.751,6.743,23.876,17.773,1.35,1.056
5,2.126,1.666,0.134,15.205,7.235,16.191,12.683,1.35,1.056
6,1.869,1.82,0.184,16.346,8.541,16.616,13.01,1.35,1.056
7,1.788,1.372,0.19,11.641,6.519,15.461,12.394,1.35,1.056
8,1.772,1.65,0.126,12.015,6.585,22.453,17.717,1.35,1.056
9,1.653,1.931,0.132,10.823,5.847,22.403,17.068,1.35,1.056
10,1.581,1.561,0.181,13.345,7.101,22.878,17.017,1.35,1.056
11,1.862,1.704,0.131,14.306,7.743,19.898,13.66,1.35,1.056
12,2.118,1.811,0.139,15.773,7.611,16.301,12.134,1.35,1.056
13,2.087,1.578,0.179,11.774,6.27,20.092,17.405,1.35,1.056
14,2.061,2.202,0.138,17.323,9.046,22.832,16.953,1.35,1.056
15,2.207,2.055,0.131,17.574,9.081,24.412,16.174,1.35,1.056
16,2.269,2.073,0.14,17.898,10.666,23.628,17.383,1.35,1.056
17,2.492,1.989,0.13,11.156,6.303,21.731,17.181,1.35,1.056
18,2.47,2.124,0.202,11.635,6.636,16.366,11.956,1.35,1.056
19,2.219,1.811,0.129,17.019,8.894,16.254,12.326,1.35,1.056
20,2.003,1.777,0.142,16.797,8.635,23.922,17.51,1.35,1.056
21,2.233,1.814,0.132,17.224,8.969,23.057,16.486,1.35,1.056
22,2.243,1.893,0.131,15.565,7.431,22.928,17.138,1.35,1.056
23,2.199,2.025,0.126,19.749,10.883,23.458,16.919,1.35,1.056
24,2.235,1.965,0.13,16.807,8.713,23.79,17.492,1.35,1.056
25,2.12,2.083,0.183,16.83,8.714,24.137,17.283,1.35,1.056
26,2.424,2.144,0.224,17.076,8.978,25.543,17.459,1.35,1.056
27,2.273,2.07,0.129,14.723,7.929,23.715,17.523,1.35,1.056
28,2.363,2.009,0.151,17.07,8.876,21.444,17.136,1.35,1.056
29,2.151,2.022,0.135,15.324,7.302,17.011,12.577,1.35,1.056
30,2.45,1.845,0.202,13.003,6.978,23.21,17.048,1.35,1.056
