iteration,amf_processing_ms,amf_waiting_ms,ausf_processing_ms,ausf_waiting_ms,udm_processing_ms,udm_waiting_ms,udr_processing_ms,smf_processing_ms,pcf_processing_ms,pcf_waiting_ms,upf_processing_ms,scp_forward_ms
1,,,,,,,,,,,,
2,258.135,111.158,0.107,17.216,0.262,8.976,1.824,23.386,10.025,7.466,0.186,0.584
3,241.392,100.606,0.161,11.869,0.267,6.198,1.752,21.391,9.456,5.987,0.136,0.385
4,245.934,122.865,0.111,12.64,0.264,6.479,1.764,23.876,10.339,7.434,0.125,0.302
5,249.829,96.198,0.11,15.095,0.241,6.994,1.169,16.191,7.503,5.18,0.134,0.402
6,252.879,111.688,0.107,16.239,0.212,8.329,1.826,16.616,7.783,5.227,0.184,0.442
7,235.129,69.712,0.115,11.526,0.218,6.301,1.841,15.461,7.522,4.872,0.19,0.144
8,234.652,71.553,0.108,11.907,0.267,6.318,1.773,22.453,10.086,7.631,0.126,0.273
9,239.386,90.981,0.109,10.714,0.265,5.582,1.529,22.403,9.698,7.37,0.132,0.385
10,235.317,82.228,0.11,13.235,0.278,6.823,1.618,22.878,9.805,7.212,0.181,0.359
11,244.589,72.293,0.108,14.198,0.267,7.476,1.57,19.898,7.465,6.195,0.131,0.293
12,250.777,109.847,0.112,15.661,0.266,7.345,1.269,16.301,6.961,5.173,0.139,0.395
13,237.295,68.186,0.113,11.661,0.263,6.007,1.577,20.092,9.926,7.479,0.179,0.27
14,257.572,111.802,0.11,17.213,0.292,8.754,1.559,22.832,9.572,7.381,0.138,0.582
15,248.141,113.189,0.11,17.464,0.259,8.822,1.535,24.412,9.003,7.171,0.131,0.478
16,252.259,105.156,0.058,17.84,0.258,10.408,1.522,23.628,9.739,7.644,0.14,0.574
17,239.077,66.709,0.08,11.076,0.266,6.037,1.55,21.731,9.687,7.494,0.13,0.282
18,245.559,72.685,0.079,11.556,0.265,6.371,1.594,16.366,7.284,4.672,0.202,0.204
19,250.74,109.18,0.109,16.91,0.26,8.634,1.53,16.254,7.479,4.847,0.129,0.42
20,253.236,108.637,0.107,16.69,0.261,8.374,1.559,23.922,9.913,7.597,0.142,0.554
21,259.05,109.314,0.108,17.116,0.262,8.707,1.623,23.057,9.586,6.9,0.132,0.538
22,257.129,108.295,0.112,15.453,0.266,7.165,1.006,22.928,9.737,7.401,0.131,0.571
23,255.004,115.095,0.11,19.639,0.259,10.624,1.546,23.458,9.755,7.164,0.126,0.543
24,258.584,114.095,0.107,16.7,0.257,8.456,1.534,23.79,9.938,7.554,0.13,0.543
25,257.299,111.713,0.105,16.725,0.259,8.455,1.574,24.137,9.729,7.554,0.183,0.577
26,306.063,110.997,0.105,16.971,0.258,8.72,1.545,25.543,9.808,7.651,0.224,0.551
27,255.064,101.463,0.112,14.611,0.099,7.83,1.565,23.715,9.99,7.533,0.129,0.546
28,261.89,111.542,0.109,16.961,0.261,8.615,1.607,21.444,9.683,7.453,0.151,0.577
29,256.491,104.853,0.153,15.171,0.298,7.004,1.174,17.011,7.39,5.187,0.135,0.442
30,239.697,101.316,0.113,12.89,0.268,6.71,1.848,23.21,9.736,7.312,0.202,0.388
