ts,amf_cache_miss_pct,amf_cpu_pct,amf_ctx_sw,amf_ipc,amf_rss_mb,ausf_cache_miss_pct,ausf_cpu_pct,ausf_ctx_sw,ausf_ipc,ausf_rss_mb,nrf_cache_miss_pct,nrf_cpu_pct,nrf_ctx_sw,nrf_ipc,nrf_rss_mb,pcf_cache_miss_pct,pcf_cpu_pct,pcf_ctx_sw,pcf_ipc,pcf_rss_mb,scp_cache_miss_pct,scp_cpu_pct,scp_ctx_sw,scp_ipc,scp_rss_mb,smf_cache_miss_pct,smf_cpu_pct,smf_ctx_sw,smf_ipc,smf_rss_mb,udm_cache_miss_pct,udm_cpu_pct,udm_ctx_sw,udm_ipc,udm_rss_mb,upf_cache_miss_pct,upf_cpu_pct,upf_ctx_sw,upf_ipc,upf_rss_mb
1775144160.761,68.07,0.0,0,0.677,23.4,,0.0,0,,18.5,28.67,0.0,0,0.758,19.4,,0.0,0,,22.5,30.43,0.0,0,0.528,20.6,,0.0,0,,49.9,61.9,0.0,0,0.625,18.7,,0.0,0,,33.1
1775144161.949,7.31,27.78,0,1.139,45.9,9.07,9.26,0,1.479,22.5,28.67,0.0,0,0.758,19.4,4.21,8.42,0,1.734,26.0,7.18,43.78,0,1.617,33.7,7.17,16.84,0,1.311,59.6,7.02,17.68,0,1.632,26.0,19.56,0.84,0,1.054,34.2
1775144163.143,10.03,0.0,0,1.174,45.9,22.55,0.0,0,0.675,22.6,23.84,0.84,0,0.814,19.4,3.73,0.0,0,1.266,26.0,7.39,0.84,0,1.567,33.9,6.24,0.0,0,1.108,59.6,7.18,0.0,0,1.815,26.0,14.12,0.0,0,1.145,34.2
1775144164.332,10.03,21.02,0,1.174,47.5,22.55,7.57,0,0.675,22.9,23.84,0.0,0,0.814,19.4,3.73,10.09,0,1.266,27.1,7.39,30.27,0,1.567,36.7,6.24,11.77,0,1.108,60.6,7.18,20.18,0,1.815,27.6,14.12,1.68,0,1.145,34.8
1775144165.517,5.34,0.84,0,1.38,47.5,6.31,0.0,0,1.489,22.9,29.7,0.0,0,0.637,19.4,3.55,0.0,0,1.453,27.1,5.15,0.0,0,1.481,36.7,6.22,0.0,0,1.274,60.6,5.02,0.0,0,1.62,27.6,6.26,0.0,0,0.846,34.8
1775144166.704,5.34,0.0,0,1.38,47.5,6.31,0.0,0,1.489,22.9,26.25,0.0,0,0.94,19.4,3.55,0.0,0,1.453,27.1,45.03,0.84,0,0.782,36.7,36.67,0.0,0,0.584,60.6,5.02,0.0,0,1.62,27.6,29.6,0.0,0,0.642,34.8
1775144167.894,5.34,0.0,0,1.38,47.5,6.31,0.0,0,1.489,22.9,26.25,0.0,0,0.94,19.4,3.55,0.0,0,1.453,27.1,45.03,0.0,0,0.782,36.7,36.67,0.0,0,0.584,60.6,5.02,0.0,0,1.62,27.6,29.6,0.0,0,0.642,34.8
1775144169.074,5.34,0.0,0,1.38,47.5,6.31,0.0,0,1.489,22.9,23.47,0.0,0,0.767,19.4,3.55,0.0,0,1.453,27.1,28.52,0.0,0,0.955,36.7,36.67,0.0,0,0.584,60.6,5.02,0.0,0,1.62,27.6,29.6,0.0,0,0.642,34.8
1775144170.265,5.34,0.0,0,1.38,47.5,6.31,0.0,0,1.489,22.9,23.47,0.0,0,0.767,19.4,3.55,0.0,0,1.453,27.1,28.52,0.0,0,0.955,36.7,36.67,0.0,0,0.584,60.6,5.02,0.0,0,1.62,27.6,60.22,0.0,0,1.636,34.8
1775144171.454,9.79,24.39,0,1.066,48.8,7.72,10.93,0,1.558,23.4,45.25,0.0,0,0.66,19.4,8.77,15.98,0,1.102,27.7,7.48,42.89,0,1.439,40.9,8.22,17.66,0,1.187,62.0,7.81,21.87,0,1.562,28.9,15.24,2.52,0,0.77,35.5
1775144172.635,10.85,0.0,0,1.122,48.8,71.16,0.0,0,0.648,23.4,28.21,0.0,0,0.505,19.4,6.44,0.0,0,1.525,27.7,34.14,0.0,0,0.419,40.9,57.03,0.0,0,0.259,62.0,9.18,0.0,0,1.556,28.9,39.86,0.0,0,0.885,35.5
1775144173.819,8.5,18.58,0,1.122,49.8,5.8,9.29,0,1.249,24.0,28.21,0.0,0,0.505,19.4,5.73,12.67,0,1.538,28.1,7.84,33.78,0,1.496,43.2,6.84,15.2,0,1.07,63.3,9.25,20.27,0,1.68,29.9,12.68,1.69,0,1.005,36.0
1775144175.01,8.5,0.0,0,1.122,49.8,5.8,0.0,0,1.249,24.0,25.66,0.0,0,0.761,19.4,51.91,0.0,0,0.694,28.1,28.32,0.0,0,0.81,43.2,6.84,0.0,0,1.07,63.3,9.25,0.0,0,1.68,29.9,12.68,0.0,0,1.005,36.0
1775144176.196,8.5,0.0,0,1.122,49.8,5.8,0.0,0,1.249,24.0,25.66,0.0,0,0.761,19.4,51.91,0.0,0,0.694,28.1,28.32,0.0,0,0.81,43.3,6.84,0.0,0,1.07,63.3,9.25,0.0,0,1.68,29.9,12.68,0.0,0,1.005,36.0
1775144177.374,8.5,0.0,0,1.122,49.8,5.8,0.0,0,1.249,24.0,32.03,0.0,0,0.781,19.4,51.91,0.0,0,0.694,28.1,49.2,0.0,0,0.789,43.3,6.84,0.0,0,1.07,63.3,9.25,0.0,0,1.68,29.9,12.68,0.0,0,1.005,36.0
1775144178.553,8.5,0.0,0,1.122,49.8,5.8,0.0,0,1.249,24.0,32.03,0.0,0,0.781,19.4,51.91,0.0,0,0.694,28.1,49.2,0.0,0,0.789,43.3,30.62,0.0,0,0.575,63.3,9.25,0.0,0,1.68,29.9,43.43,0.0,0,0.548,36.1
1775144179.734,21.15,0.0,0,1.474,49.8,5.8,0.0,0,1.249,24.0,20.87,0.0,0,0.923,19.4,14.61,0.85,0,1.09,28.1,14.74,4.23,0,1.106,43.4,11.14,0.0,0,0.884,63.3,19.46,0.0,0,0.483,29.9,19.28,0.0,0,0.681,36.1
1775144180.92,6.77,27.83,0,1.113,51.5,6.0,6.75,0,1.344,24.2,35.96,0.0,0,0.633,19.4,4.43,8.43,0,1.302,28.8,7.42,38.79,0,1.491,46.2,6.28,18.55,0,0.951,64.8,8.26,21.08,0,1.562,31.6,13.09,3.37,0,1.057,36.6
1775144182.109,6.77,0.0,0,1.113,51.5,6.0,0.0,0,1.344,24.2,35.96,0.0,0,0.633,19.4,4.43,0.0,0,1.302,28.8,7.42,0.0,0,1.491,46.2,6.28,0.0,0,0.951,64.8,8.26,0.0,0,1.562,31.6,8.6,0.0,0,0.861,36.6
