ts,sgx_local_eno12399np0_rx_kbps,sgx_local_eno12399np0_tx_kbps,sgx_local_ogstun_rx_kbps,sgx_local_ogstun_tx_kbps
1775144160.761,8.8,2.4,0.0,0.0
1775144161.949,10.9,5.2,0.0,0.0
1775144163.143,361.8,92.8,0.0,0.0
1775144164.332,11.4,1.9,0.0,0.0
1775144165.517,205.9,61.6,0.0,0.0
1775144166.704,16.3,6.2,0.0,0.0
1775144167.894,22.1,2.0,0.0,0.0
1775144169.074,19.4,2.5,0.0,0.0
1775144170.265,33.4,9.0,0.0,0.0
1775144171.454,183.4,27.2,0.0,0.0
1775144172.635,191.1,70.0,0.0,0.0
1775144173.819,16.8,2.3,0.0,0.0
1775144175.01,218.6,65.8,0.0,0.0
1775144176.196,28.8,8.0,0.0,0.0
1775144177.374,26.4,7.3,0.0,0.0
1775144178.553,9.0,3.1,0.0,0.0
1775144179.734,16.9,4.2,0.0,0.0
1775144180.92,15.8,5.7,0.0,0.0
1775144182.109,392.8,96.5,0.0,0.0
1775144183.295,29.6,5.3,0.0,0.0
1775144184.467,153.1,48.7,0.0,0.0
1775144185.638,105.5,32.0,0.0,0.0
1775144186.828,10.7,2.2,0.0,0.0
1775144188.015,14.4,4.0,0.0,0.0
1775144189.208,9.9,3.0,0.0,0.0
1775144190.391,357.7,88.9,0.0,0.0
1775144191.589,20.0,4.0,0.0,0.0
1775144192.768,238.0,63.9,0.0,0.0
1775144193.95,12.5,3.9,0.0,0.0
1775144195.134,12.1,2.3,0.0,0.0
1775144196.324,15.4,2.3,0.0,0.0
1775144197.504,15.0,2.2,0.0,0.0
1775144198.686,11.8,2.6,0.0,0.0
1775144199.87,335.3,77.5,0.0,0.0
1775144201.058,19.4,1.5,0.0,0.0
1775144202.245,258.5,76.9,0.0,0.0
1775144203.432,28.6,6.6,0.0,0.0
1775144204.612,18.9,2.6,0.0,0.0
1775144205.799,22.6,2.8,0.0,0.0
1775144206.996,16.1,2.0,0.0,0.0
1775144208.184,28.0,8.0,0.0,0.0
1775144209.377,382.5,87.4,0.0,0.0
1775144210.567,11.4,2.7,0.0,0.0
1775144211.76,132.1,45.3,0.0,0.0
1775144212.944,16.8,2.1,0.0,0.0
1775144214.133,7.3,0.9,0.0,0.0
1775144215.321,56.6,20.8,0.0,0.0
1775144216.511,14.5,0.8,0.0,0.0
1775144217.694,9.4,0.7,0.0,0.0
1775144218.881,14.2,0.6,0.0,0.0
1775144220.063,10.5,2.5,0.0,0.0
1775144221.25,23.4,1.1,0.0,0.0
1775144222.431,29.6,1.8,0.0,0.0
1775144223.62,6.3,0.7,0.0,0.0
1775144224.809,20.1,1.8,0.0,0.0
1775144225.995,10.5,0.8,0.0,0.0
1775144227.181,18.1,1.5,0.0,0.0
1775144228.377,16.0,0.8,0.0,0.0
1775144229.564,31.4,2.6,0.0,0.0
1775144230.758,9.0,0.5,0.0,0.0
1775144231.948,13.6,0.8,0.0,0.0
1775144233.14,8.7,0.7,0.0,0.0
1775144234.324,40.3,13.7,0.0,0.0
1775144235.507,13.6,2.9,0.0,0.0
1775144236.678,15.0,2.3,0.0,0.0
1775144237.859,37.1,6.3,0.0,0.0
1775144239.044,172.8,21.5,0.0,0.0
1775144240.228,221.7,76.2,0.0,0.0
1775144241.413,12.6,1.8,0.0,0.0
1775144242.598,215.7,72.2,0.0,0.0
1775144243.779,26.1,6.5,0.0,0.0
1775144244.961,25.0,4.8,0.0,0.0
1775144246.147,12.4,2.3,0.0,0.0
1775144247.329,23.8,2.4,0.0,0.0
1775144248.508,10.9,5.8,0.0,0.0
1775144249.691,326.9,78.6,0.0,0.0
1775144250.882,9.7,2.8,0.0,0.0
1775144252.078,215.5,62.7,0.0,0.0
1775144253.266,94.7,32.3,0.0,0.0
1775144254.45,11.9,2.7,0.0,0.0
1775144255.632,22.1,2.5,0.0,0.0
1775144256.814,11.5,2.4,0.0,0.0
1775144258.0,15.6,2.0,0.0,0.0
1775144259.186,299.7,69.1,0.0,0.0
1775144260.373,75.9,25.2,0.0,0.0
1775144261.554,229.2,68.0,0.0,0.0
1775144262.74,18.6,6.3,0.0,0.0
1775144263.922,16.1,2.9,0.0,0.0
1775144265.109,17.0,2.6,0.0,0.0
1775144266.297,13.2,2.4,0.0,0.0
1775144267.486,186.7,26.2,0.0,0.0
1775144268.664,176.2,62.6,0.0,0.0
1775144269.852,11.5,1.5,0.0,0.0
1775144271.037,249.8,73.5,0.0,0.0
1775144272.22,36.0,9.4,0.0,0.0
1775144273.395,16.3,2.4,0.0,0.0
1775144274.577,12.4,2.7,0.0,0.0
1775144275.765,29.9,4.3,0.0,0.0
