ts,amf_cpu_pct,amf_ctx_sw,amf_rss_mb,ausf_aex_rate,ausf_cache_miss_pct,ausf_cpu_pct,ausf_ctx_sw,ausf_eenter_rate,ausf_eexit_rate,ausf_ipc,ausf_rss_mb,nrf_aex_rate,nrf_cache_miss_pct,nrf_cpu_pct,nrf_ctx_sw,nrf_eenter_rate,nrf_eexit_rate,nrf_ipc,nrf_rss_mb,pcf_aex_rate,pcf_cache_miss_pct,pcf_cpu_pct,pcf_ctx_sw,pcf_eenter_rate,pcf_eexit_rate,pcf_ipc,pcf_rss_mb,scp_aex_rate,scp_cache_miss_pct,scp_cpu_pct,scp_ctx_sw,scp_eenter_rate,scp_eexit_rate,scp_ipc,scp_rss_mb,smf_aex_rate,smf_cache_miss_pct,smf_cpu_pct,smf_ctx_sw,smf_eenter_rate,smf_eexit_rate,smf_ipc,smf_rss_mb,udm_aex_rate,udm_cache_miss_pct,udm_cpu_pct,udm_ctx_sw,udm_eenter_rate,udm_eexit_rate,udm_ipc,udm_rss_mb,upf_cpu_pct,upf_ctx_sw,upf_rss_mb
1775106786.691,0.0,0,210.5,,,0.35,0,,,,5.9,,,0.0,0,,,,6.0,,,0.0,0,,,,6.0,,,0.35,0,,,,6.0,,,0.0,0,,,,5.9,,,0.0,0,,,,6.0,0.0,0,37.0
1775106788.537,8.74,0,224.3,12153,7.93,50.38,0,15011,15012,0.327,5.9,0,56.46,0.0,0,0,0,0.375,6.0,0,,0.0,0,0,0,,6.0,14900,6.82,73.14,0,20137,20137,0.39,6.0,0,,0.0,0,0,0,,5.9,3472,7.52,44.42,0,4923,4923,0.374,6.0,0.0,0,37.0
1775106790.372,10.41,0,227.4,438,9.43,27.79,0,628,628,0.394,5.9,27,56.97,0.54,0,46,46,0.324,6.0,3585,20.58,36.5,0,2876,2876,0.499,6.0,26383,7.3,100.8,0,37925,37925,0.425,6.0,2947,15.92,25.06,0,2119,2119,0.407,5.9,15015,5.95,62.66,0,19990,19990,0.369,6.0,1.08,0,37.2
1775106792.219,14.56,0,230.0,172,13.9,14.08,0,250,250,0.401,5.9,13,57.72,0.54,0,23,23,0.331,6.0,3252,15.28,40.62,0,4779,4779,0.44,6.0,25911,7.39,99.66,0,37584,37584,0.421,6.0,22463,12.16,71.5,0,28297,28297,0.327,5.9,9580,9.87,65.54,0,13056,13056,0.474,6.0,2.74,0,38.0
1775106794.073,5.33,0,230.7,0,13.9,0.0,0,0,0,0.401,5.9,0,59.96,0.0,0,0,0,0.347,6.0,3161,11.02,29.12,0,4460,4460,0.422,6.0,13980,5.78,58.78,0,20325,20325,0.404,6.0,16346,9.88,44.76,0,20795,20794,0.326,5.9,1815,8.18,26.43,0,2676,2676,0.527,6.0,1.6,0,38.5
1775106795.928,0.0,0,230.7,0,66.75,0.0,0,0,0,0.268,5.9,15,58.38,0.0,0,23,23,0.348,6.0,0,11.02,0.0,0,0,0,0.422,6.0,45,42.57,0.54,0,68,68,0.371,6.0,0,9.88,0.0,0,0,0,0.326,5.9,28,56.37,0.54,0,40,40,0.324,6.0,0.0,0,38.5
1775106797.791,0.0,0,230.7,0,66.75,0.0,0,0,0,0.268,5.9,0,47.97,0.54,0,0,0,0.372,6.0,0,11.02,0.0,0,0,0,0.422,6.0,0,43.6,0.54,0,0,0,0.354,6.0,0,9.88,0.0,0,0,0,0.326,5.9,0,56.37,0.0,0,0,0,0.324,6.0,0.0,0,38.5
1775106799.658,2.71,0,230.8,1477,12.89,5.36,0,2131,2131,0.372,5.9,27,53.18,0.0,0,46,46,0.331,6.0,2137,9.03,8.04,0,3037,3037,0.311,6.0,14917,6.69,27.32,0,21560,21560,0.382,6.0,11952,12.1,17.14,0,15298,15298,0.325,5.9,2745,10.23,8.04,0,3862,3862,0.436,6.0,1.62,0,38.5
1775106801.51,10.11,0,231.4,2639,10.1,39.95,0,3668,3668,0.367,5.9,14,44.67,0.54,0,23,23,0.355,6.0,3192,26.37,15.66,0,4692,4692,0.458,6.0,25615,7.2,99.35,0,37964,37964,0.377,6.0,4750,13.96,34.01,0,6593,6593,0.315,5.9,9511,7.03,72.35,0,13224,13224,0.368,6.0,1.61,0,38.6
1775106803.366,10.73,0,232.4,3846,14.54,19.93,0,5299,5299,0.323,5.9,0,48.93,0.0,0,0,0,0.243,6.0,6748,7.34,34.48,0,9151,9151,0.42,6.0,27448,7.07,100.21,0,38573,38573,0.392,6.0,25410,11.84,76.5,0,32275,32275,0.311,5.9,9841,8.97,54.41,0,13146,13146,0.397,6.0,1.08,0,38.7
1775106805.252,10.34,0,233.3,0,10.35,28.64,0,0,0,0.395,5.9,13,54.5,0.0,0,23,23,0.378,6.0,5737,18.17,45.08,0,8366,8366,0.433,6.0,25025,6.98,99.7,0,36955,36955,0.404,6.0,18223,11.44,71.06,0,24118,24118,0.317,5.9,4407,7.48,63.11,0,6421,6421,0.443,6.0,2.69,0,39.2
1775106807.088,1.6,0,233.4,0,10.35,0.0,0,0,0,0.395,5.9,0,56.53,0.54,0,0,0,0.361,6.0,0,7.74,15.25,0,0,0,0.476,6.0,0,7.22,28.86,0,0,0,0.366,6.0,0,9.45,31.04,0,0,0,0.271,5.9,0,9.71,18.51,0,0,0,0.479,6.0,1.62,0,39.5
1775106808.943,0.0,0,233.4,0,10.35,0.0,0,0,0,0.395,5.9,28,50.86,0.0,0,46,46,0.375,6.0,28,7.74,0.0,0,40,40,0.476,6.0,71,37.35,0.54,0,108,108,0.384,6.0,0,9.45,0.0,0,0,0,0.271,5.9,0,9.71,0.0,0,0,0,0.479,6.0,0.54,0,39.5
1775106810.787,0.0,0,233.4,0,10.35,0.0,0,0,0,0.395,5.9,15,46.55,0.54,0,23,23,0.38,6.0,740,62.1,0.0,0,1054,1054,0.317,6.0,3327,39.87,1.63,0,4927,4927,0.379,6.0,2976,9.45,0.0,0,3997,3997,0.271,5.9,204,9.71,0.0,0,290,290,0.479,6.0,0.54,0,39.5
1775106812.641,5.47,0,233.6,0,11.43,23.19,0,0,0,0.392,5.9,15,51.81,0.0,0,23,23,0.326,6.0,740,14.48,14.02,0,1054,1054,0.392,6.0,3327,6.32,57.18,0,4927,4927,0.376,6.0,2976,10.87,32.36,0,3997,3997,0.306,5.9,204,8.32,32.36,0,290,290,0.381,6.0,1.63,0,39.5
1775106814.497,11.18,0,234.3,7632,7.18,28.55,0,10162,10162,0.358,5.9,0,51.81,0.0,0,0,0,0.326,6.0,1276,21.45,27.48,0,1950,1950,0.457,6.0,27170,6.92,99.67,0,38871,38871,0.396,6.0,1578,24.62,31.25,0,2273,2273,0.335,5.9,14380,5.97,55.49,0,19251,19251,0.395,6.0,2.16,0,39.6
1775106816.349,9.16,0,234.7,3165,13.29,35.62,0,4461,4461,0.417,5.9,14,59.19,0.0,0,23,23,0.227,6.0,3904,11.92,29.15,0,5275,5276,0.385,6.0,27444,8.21,99.32,0,38404,38404,0.373,6.0,26828,14.69,84.2,0,34247,34247,0.307,5.9,10049,8.55,52.9,0,13475,13475,0.39,6.0,2.16,0,40.0
1775106818.19,9.23,0,235.2,0,12.31,8.15,0,0,0,0.34,5.9,0,50.62,0.0,0,0,0,0.219,6.0,5101,9.42,41.3,0,7527,13874,0.496,6.0,25380,6.87,94.0,0,37583,37584,0.431,6.0,14416,13.19,57.6,0,19124,19125,0.334,5.9,6253,6.77,59.23,0,8912,8912,0.483,6.0,2.15,0,40.5
