ts,sgx_local_eno12399np0_rx_kbps,sgx_local_eno12399np0_tx_kbps,sgx_local_ogstun_rx_kbps,sgx_local_ogstun_tx_kbps,tdx_amf_enp0s2_rx_kbps,tdx_amf_enp0s2_tx_kbps,tdx_amf_vmexit_halt_rate,tdx_amf_vmexit_hypercall_rate,tdx_amf_vmexit_io_rate,tdx_amf_vmexit_irq_rate,tdx_amf_vmexit_rate,tdx_upf_enp0s2_rx_kbps,tdx_upf_enp0s2_tx_kbps,tdx_upf_ogstun_rx_kbps,tdx_upf_ogstun_tx_kbps,tdx_upf_vmexit_halt_rate,tdx_upf_vmexit_hypercall_rate,tdx_upf_vmexit_io_rate,tdx_upf_vmexit_irq_rate,tdx_upf_vmexit_rate
1775106786.691,28.5,11.4,0.0,0.0,20.2,3.4,1877.0,0.0,0.0,361.0,4826.8,20.2,3.6,0.0,0.0,1583.7,0.0,0.0,311.0,3927.4
1775106788.537,158.9,40.5,0.0,0.0,68.7,48.2,3128.4,0.0,0.0,755.1,8945.2,18.4,2.9,0.0,0.0,1325.4,0.0,0.0,269.2,3350.1
1775106790.372,100.4,74.4,0.0,0.0,119.1,119.4,3573.4,0.0,0.0,715.3,9029.8,24.4,5.1,0.0,0.0,1582.4,0.5,0.0,353.9,4557.3
1775106792.219,280.2,170.2,0.0,0.0,142.4,135.6,3678.8,0.0,0.0,872.4,9836.2,32.6,8.6,0.0,0.0,1428.6,0.0,0.0,314.1,3859.4
1775106794.073,78.4,71.1,0.0,0.0,69.4,60.8,2101.7,0.0,0.0,400.0,5646.2,24.8,7.3,0.0,0.0,1335.4,0.0,0.0,266.1,3489.1
1775106795.928,113.3,88.2,0.0,0.0,15.8,2.8,1541.2,0.0,0.0,286.7,4038.8,15.6,3.0,0.0,0.0,1592.8,0.0,0.0,339.0,5029.7
1775106797.791,30.0,14.7,0.0,0.0,17.5,2.8,1531.2,0.0,0.0,314.3,4011.7,17.6,3.2,0.0,0.0,1326.0,0.0,0.0,245.3,3339.5
1775106799.658,32.0,18.7,0.0,0.0,33.2,23.8,2256.4,0.0,0.0,445.1,5848.2,22.2,7.8,0.0,0.0,1638.8,0.0,0.0,310.2,4315.4
1775106801.51,182.9,50.5,0.0,0.0,108.1,104.7,3650.6,0.0,0.0,731.7,9253.1,23.4,5.3,0.0,0.0,1612.5,0.5,0.0,382.6,5167.6
1775106803.366,84.1,57.2,0.0,0.0,72.6,68.1,2743.2,0.0,0.0,578.2,7343.4,22.2,7.7,0.0,0.0,1456.2,0.0,0.0,310.5,3824.0
1775106805.252,285.0,167.6,0.0,0.0,145.8,135.7,3721.9,0.0,0.0,728.6,9541.5,39.4,9.2,0.0,0.0,1625.1,0.5,0.0,389.8,4549.4
1775106807.088,172.0,127.7,0.0,0.0,33.9,18.4,1556.2,0.0,0.0,341.8,4183.7,23.4,6.0,0.0,0.0,1276.8,0.0,0.0,258.3,4138.2
1775106808.943,27.8,12.7,0.0,0.0,16.2,3.0,1617.8,0.0,0.0,297.2,4209.6,16.2,3.0,0.0,0.0,1310.5,0.0,0.0,263.1,3417.2
1775106810.787,29.4,15.4,0.0,0.0,14.1,3.0,1486.9,0.0,0.0,297.8,3957.2,14.4,3.1,0.0,0.0,1428.1,0.0,0.0,314.9,3733.4
1775106812.641,160.1,39.6,0.0,0.0,41.9,39.4,2540.4,0.0,0.0,515.9,6786.0,18.8,8.1,0.0,0.0,1518.1,0.0,0.0,322.8,4419.7
1775106814.497,66.9,43.8,0.0,0.0,129.7,131.2,3364.4,0.0,0.0,687.4,8549.1,28.4,9.3,0.0,0.0,1485.3,0.0,0.0,287.8,3863.6
1775106816.349,236.7,118.7,0.0,0.0,87.7,64.8,3455.1,0.0,0.0,771.9,9007.1,34.8,7.5,0.0,0.0,1542.8,0.5,0.0,349.2,4213.1
1775106818.19,181.9,140.4,0.0,0.0,120.3,112.8,2956.4,0.0,0.0,572.8,7571.0,34.5,8.4,0.0,0.0,1488.3,0.0,0.0,285.0,4066.0
1775106820.064,90.9,72.3,0.0,0.0,12.4,3.1,1579.1,0.0,0.0,290.2,4788.7,12.6,3.0,0.0,0.0,1371.7,0.0,0.0,254.4,3544.9
1775106821.9,30.6,14.4,0.0,0.0,14.4,2.9,1561.9,0.0,0.0,297.9,4525.6,14.2,3.0,0.0,0.0,1458.9,0.0,0.0,308.6,3808.5
1775106823.76,17.6,10.3,0.0,0.0,14.6,2.8,1615.7,0.0,0.0,355.6,4860.1,14.6,3.2,0.0,0.0,1605.0,0.0,0.0,283.6,4267.0
1775106825.615,152.4,33.9,0.0,0.0,74.7,67.7,3436.5,0.0,0.0,813.9,10930.5,22.6,8.8,0.0,0.0,1416.7,0.5,0.0,306.4,3792.7
1775106827.467,146.4,101.8,0.0,0.0,115.4,122.7,3218.1,0.0,0.0,669.4,9017.9,25.0,8.6,0.0,0.0,1597.1,0.0,0.0,288.8,4176.1
1775106829.323,200.5,95.1,0.0,0.0,111.9,85.0,3684.0,0.0,0.0,603.2,9940.8,38.7,8.1,0.0,0.0,1542.6,0.0,0.0,315.0,4132.1
1775106831.172,218.3,164.7,0.0,0.0,84.5,73.5,2352.1,0.0,0.0,410.7,6474.0,35.4,7.6,0.0,0.0,1556.2,0.5,0.0,344.9,4080.9
1775106833.04,29.1,20.4,0.0,0.0,12.9,2.8,1494.3,0.0,0.0,271.9,4000.9,12.7,3.1,0.0,0.0,1392.6,0.0,0.0,273.6,4470.6
1775106834.873,32.3,17.9,0.0,0.0,17.2,2.8,1547.8,0.0,0.0,293.0,5478.4,17.4,3.1,0.0,0.0,1345.1,0.0,0.0,253.1,3486.4
1775106836.741,33.0,18.0,0.0,0.0,32.3,25.6,2297.5,0.0,0.0,391.3,6109.3,18.4,8.0,0.0,0.0,1616.2,0.5,0.0,351.1,4480.7
1775106838.598,175.6,49.7,0.0,0.0,105.8,94.2,3725.7,0.0,0.0,653.3,10118.6,22.3,4.9,0.0,0.0,1556.7,0.0,0.0,312.3,4938.7
1775106840.442,261.6,142.3,0.0,0.0,80.9,88.3,2905.4,0.0,0.0,570.4,9899.3,24.4,9.2,0.0,0.0,1510.5,0.0,0.0,344.4,4122.0
1775106842.308,121.1,97.6,0.0,0.0,137.7,128.4,3675.3,0.0,0.0,642.9,10837.6,35.2,8.8,0.0,0.0,1536.8,0.0,0.0,292.5,4127.1
1775106844.166,125.6,86.0,0.0,0.0,31.4,13.6,1723.4,0.0,0.0,460.5,4942.3,24.4,4.9,0.0,0.0,1519.2,0.0,0.0,448.3,4893.6
1775106846.454,69.6,46.2,0.0,0.0,15.5,2.5,1379.6,0.0,0.0,253.3,3754.1,15.5,2.7,0.0,0.0,1350.5,0.0,0.0,279.6,3532.9
1775106848.297,16.2,11.1,0.0,0.0,19.0,3.0,1628.0,0.0,0.0,306.7,4463.8,18.9,3.1,0.0,0.0,1405.1,0.0,0.0,300.6,3917.9
1775106850.145,175.8,320.5,0.0,0.0,62.3,61.7,3406.0,0.0,0.0,625.3,10700.6,15.6,8.8,0.0,0.0,1383.7,0.0,0.0,249.3,4090.1
1775106851.975,223.6,125.9,0.0,0.0,113.6,126.0,3230.5,0.0,0.0,661.3,9623.7,22.8,8.5,0.0,0.0,1672.5,0.0,0.0,343.0,4490.1
1775106853.838,140.4,94.0,0.0,0.0,100.8,67.1,3465.8,0.0,0.0,660.1,9487.5,38.0,7.7,0.0,0.0,1614.3,0.0,0.0,304.6,4934.7
1775106855.697,208.8,159.4,0.0,0.0,96.7,95.1,2475.2,0.0,0.0,516.7,9075.8,33.0,8.0,0.0,0.0,1544.1,0.0,0.0,345.3,4257.9
1775106857.565,23.6,16.4,0.0,0.0,13.2,2.8,1567.9,0.0,0.0,309.7,4204.1,13.2,3.3,0.0,0.0,1222.1,0.0,0.0,227.9,3162.5
1775106859.424,31.5,18.5,0.0,0.0,12.0,2.8,1467.6,0.0,0.0,297.9,3972.3,12.0,3.1,0.0,0.0,1375.5,0.0,0.0,512.2,4834.2
1775106861.299,33.7,31.0,0.0,0.0,18.6,15.2,1893.3,0.0,0.0,370.1,5139.5,15.4,8.0,0.0,0.0,1515.3,0.5,0.0,311.9,4266.1
1775106863.134,175.1,51.5,0.0,0.0,89.5,78.3,3547.1,0.0,0.0,702.0,9712.4,16.2,4.1,0.0,0.0,1488.3,0.0,0.0,268.7,4125.4
1775106864.999,241.2,128.7,0.0,0.0,85.7,97.0,2904.7,0.0,0.0,654.1,8173.0,20.9,8.7,0.0,0.0,1425.3,0.0,0.0,281.5,4493.6
1775106866.841,42.5,34.2,0.0,0.0,136.8,128.5,3825.5,0.0,0.0,789.8,11708.2,37.4,9.0,0.0,0.0,1577.1,0.0,0.0,358.3,4422.5
1775106868.693,220.2,165.7,0.0,0.0,49.1,33.1,1912.7,0.0,0.0,361.9,5198.2,26.4,6.9,0.0,0.0,1299.0,0.0,0.0,227.7,3335.1
