ts,sgx_local_eno12399np0_rx_kbps,sgx_local_eno12399np0_tx_kbps,sgx_local_ogstun_rx_kbps,sgx_local_ogstun_tx_kbps,tdx_amf_enp0s2_rx_kbps,tdx_amf_enp0s2_tx_kbps,tdx_amf_vmexit_halt_rate,tdx_amf_vmexit_hypercall_rate,tdx_amf_vmexit_io_rate,tdx_amf_vmexit_irq_rate,tdx_amf_vmexit_rate
1775140260.393,24.7,11.7,0.0,0.0,17.4,3.8,2001.4,0.0,0.0,333.6,5064.8
1775140261.977,173.1,34.1,0.0,0.0,46.8,30.2,2764.6,0.0,0.0,479.0,7276.5
1775140263.551,47.9,28.6,0.0,0.0,114.1,114.8,3904.4,0.0,0.0,695.4,10065.0
1775140265.146,271.4,149.1,0.0,0.0,113.1,104.0,3456.4,0.0,0.0,753.7,9116.6
1775140266.709,228.7,169.1,0.0,0.0,137.2,136.6,3718.8,0.0,0.0,726.0,9475.5
1775140268.28,135.4,100.3,0.0,0.0,45.4,27.3,2021.2,0.0,0.0,341.0,5458.2
1775140269.878,33.3,11.4,0.0,0.0,15.7,3.3,1723.0,0.0,0.0,239.3,4433.5
1775140271.442,15.7,7.2,0.0,0.0,18.5,3.4,1735.8,0.0,0.0,263.2,4532.2
1775140273.028,22.8,7.4,0.0,0.0,13.6,3.5,1716.0,0.0,0.0,293.7,4479.7
1775140274.605,143.0,28.0,0.0,0.0,54.3,56.9,3487.6,0.0,0.0,537.1,11892.0
1775140276.17,164.3,104.1,0.0,0.0,135.3,146.3,3919.4,0.0,0.0,616.1,9890.9
1775140277.762,206.9,96.4,0.0,0.0,72.2,55.5,3567.0,0.0,0.0,517.0,9651.6
1775140279.351,166.1,119.7,0.0,0.0,130.9,129.1,4204.1,0.0,0.0,564.1,10973.7
1775140280.942,139.1,94.7,0.0,0.0,23.0,13.1,1699.0,0.0,0.0,270.7,4433.9
1775140282.532,54.1,38.2,0.0,0.0,17.4,3.7,1713.4,0.0,0.0,255.2,4481.7
1775140284.103,24.3,7.5,0.0,0.0,17.4,3.2,1778.9,0.0,0.0,263.5,4573.7
1775140285.668,14.4,6.3,0.0,0.0,13.8,3.4,1775.7,0.0,0.0,275.3,4566.7
1775140287.262,20.4,7.8,0.0,0.0,13.9,3.1,1635.4,0.0,0.0,267.5,4264.6
1775140288.874,10.3,3.9,0.0,0.0,17.6,3.3,1684.4,0.0,0.0,273.4,4364.1
1775140290.46,30.5,10.4,0.0,0.0,17.1,3.3,1779.0,0.0,0.0,276.1,6768.2
1775140292.039,9.3,2.6,0.0,0.0,15.5,3.6,1692.1,0.0,0.0,270.9,4587.1
1775140293.629,25.1,12.4,0.0,0.0,22.1,3.2,1711.7,0.0,0.0,293.0,4388.4
1775140295.206,11.1,1.4,0.0,0.0,13.9,3.2,1726.0,0.0,0.0,263.1,4459.4
1775140296.803,29.7,12.1,0.0,0.0,16.2,3.5,1685.7,0.0,0.0,252.5,4293.3
1775140298.411,9.4,1.7,0.0,0.0,20.3,4.9,1895.8,0.0,0.0,275.0,4808.6
1775140299.946,61.7,27.5,0.0,0.0,23.0,9.8,1795.7,0.0,0.0,268.1,4637.4
1775140301.553,28.4,8.8,0.0,0.0,17.7,3.4,1827.0,0.0,0.0,272.0,4735.1
1775140303.127,15.4,5.3,0.0,0.0,18.4,3.3,1631.2,0.0,0.0,265.1,4185.3
1775140304.727,30.8,11.4,0.0,0.0,21.6,17.7,2176.5,0.0,0.0,335.2,5616.2
1775140306.32,162.6,40.8,0.0,0.0,92.3,76.8,4161.2,0.0,0.0,555.5,10622.9
1775140307.918,309.3,162.3,0.0,0.0,115.2,122.1,3440.9,0.0,0.0,582.0,8771.7
1775140309.51,63.9,33.7,0.0,0.0,94.2,80.6,4192.9,0.0,0.0,542.8,10334.4
1775140311.094,256.9,178.3,0.0,0.0,122.7,111.4,3294.5,0.0,0.0,522.5,8447.4
