iteration,success,service_request_ms,cm_idle_to_connected_ms
1,True,149.0,204.0
2,True,55.0,204.0
3,True,60.0,208.0
4,True,51.0,207.0
5,True,50.0,204.0
6,True,51.0,204.0
,,,
8,True,51.0,204.0
9,True,52.0,205.0
10,True,48.0,205.0
11,True,56.0,208.0
12,True,48.0,208.0
13,True,51.0,207.0
14,True,55.0,207.0
15,True,51.0,207.0
16,True,51.0,208.0
17,True,52.0,205.0
18,True,55.0,206.0
19,True,51.0,208.0
20,True,53.0,208.0
21,True,51.0,207.0
22,True,55.0,207.0
23,True,51.0,206.0
24,True,43.0,204.0
25,True,55.0,207.0
26,True,56.0,209.0
27,True,55.0,207.0
28,True,51.0,207.0
29,True,57.0,209.0
30,True,52.0,207.0
