iteration,success,service_request_ms,cm_idle_to_connected_ms
1,True,67.0,214.0
,,,
3,True,62.0,212.0
4,True,58.0,211.0
5,True,57.0,212.0
6,True,70.0,215.0
7,True,55.0,210.0
8,True,70.0,215.0
9,True,70.0,215.0
10,True,58.0,211.0
11,True,67.0,211.0
12,True,68.0,217.0
13,True,64.0,217.0
14,True,62.0,211.0
15,True,58.0,211.0
16,True,60.0,213.0
17,True,62.0,214.0
18,True,62.0,215.0
19,True,59.0,209.0
20,True,60.0,214.0
21,True,64.0,210.0
22,True,64.0,213.0
23,True,68.0,216.0
24,True,56.0,213.0
25,True,59.0,214.0
26,True,55.0,209.0
27,True,60.0,210.0
28,True,65.0,216.0
29,True,64.0,216.0
30,True,66.0,217.0
