nf,trial,is_sgx,enclave_init_ms,nf_init_ms,nrf_reg_ms,total_startup_ms,success
nrf,1,False,0.0,53.0,0.0,53.0,True
nrf,2,False,0.0,48.0,0.0,48.0,True
nrf,3,False,0.0,53.0,0.0,53.0,True
nrf,4,False,0.0,52.0,0.0,52.0,True
nrf,5,False,0.0,53.0,0.0,53.0,True
scp,1,False,0.0,53.0,37.0,90.0,True
scp,2,False,0.0,52.0,35.0,87.0,True
scp,3,False,0.0,52.0,42.0,94.0,True
scp,4,False,0.0,53.0,43.0,96.0,True
scp,5,False,0.0,52.0,41.0,93.0,True
udr,1,False,0.0,50.0,46.0,96.0,True
udr,2,False,0.0,48.0,49.0,97.0,True
udr,3,False,0.0,51.0,51.0,102.0,True
udr,4,False,0.0,53.0,48.0,101.0,True
udr,5,False,0.0,54.0,43.0,97.0,True
udm,1,False,0.0,53.0,52.0,105.0,True
udm,2,False,0.0,53.0,41.0,94.0,True
udm,3,False,0.0,53.0,43.0,96.0,True
udm,4,False,0.0,54.0,51.0,105.0,True
udm,5,False,0.0,53.0,53.0,106.0,True
ausf,1,False,0.0,54.0,42.0,96.0,True
ausf,2,False,0.0,53.0,43.0,96.0,True
ausf,3,False,0.0,53.0,66.0,119.0,True
ausf,4,False,0.0,54.0,51.0,105.0,True
ausf,5,False,0.0,53.0,50.0,103.0,True
pcf,1,False,0.0,54.0,50.0,104.0,True
pcf,2,False,0.0,54.0,46.0,100.0,True
pcf,3,False,0.0,54.0,45.0,99.0,True
pcf,4,False,0.0,53.0,47.0,100.0,True
pcf,5,False,0.0,53.0,44.0,97.0,True
smf,1,False,0.0,87.0,51.0,138.0,True
smf,2,False,0.0,87.0,44.0,131.0,True
smf,3,False,0.0,87.0,45.0,132.0,True
smf,4,False,0.0,86.0,51.0,137.0,True
smf,5,False,0.0,88.0,47.0,135.0,True
amf,1,False,0.0,53.0,131.0,184.0,True
amf,2,False,0.0,54.0,45.0,99.0,True
amf,3,False,0.0,53.0,46.0,99.0,True
amf,4,False,0.0,53.0,43.0,96.0,True
amf,5,False,0.0,53.0,45.0,98.0,True
upf,1,False,0.0,39.0,0.0,39.0,True
upf,2,False,0.0,39.0,0.0,39.0,True
upf,3,False,0.0,39.0,0.0,39.0,True
upf,4,False,0.0,34.0,0.0,34.0,True
upf,5,False,0.0,39.0,0.0,39.0,True
