nf,trial,is_sgx,enclave_init_ms,nf_init_ms,nrf_reg_ms,total_startup_ms,success
nrf,1,True,10946.1,73.0,0.0,11019.1,True
nrf,2,True,6650.1,69.0,0.0,6719.1,True
nrf,3,True,5926.0,72.0,0.0,5998.0,True
nrf,4,True,5951.2,73.0,0.0,6024.2,True
nrf,5,True,5859.0,73.0,0.0,5932.0,True
scp,1,True,53243.5,72.0,934.0,54249.5,True
scp,2,True,51191.0,162.0,1167.0,52520.0,True
scp,3,True,49769.8,162.0,1217.0,51148.8,True
scp,4,True,49768.7,71.0,483.0,50322.7,True
scp,5,True,49839.3,162.0,1142.0,51143.3,True
udr,1,True,25622.0,72.0,311.0,26005.0,True
udr,2,True,21401.5,159.0,678.0,22238.5,True
udr,3,True,21187.9,72.0,306.0,21565.9,True
udr,4,True,21317.2,69.0,291.0,21677.2,True
udr,5,True,21382.4,155.0,674.0,22211.4,True
udm,1,True,10306.0,87.0,286.0,10679.0,True
udm,2,True,6205.0,87.0,287.0,6579.0,True
udm,3,True,5935.6,91.0,297.0,6323.6,True
udm,4,True,5965.9,87.0,302.0,6354.9,True
udm,5,True,5919.7,92.0,300.0,6311.7,True
ausf,1,True,5258.8,73.0,427.0,5758.8,True
ausf,2,True,3076.4,72.0,448.0,3596.4,True
ausf,3,True,3093.8,72.0,496.0,3661.8,True
ausf,4,True,3084.0,72.0,529.0,3685.0,True
ausf,5,True,3085.2,72.0,471.0,3628.2,True
pcf,1,True,11468.6,112.0,294.0,11874.6,True
pcf,2,True,7113.8,107.0,,,True
pcf,3,True,6718.1,112.0,292.0,7122.1,True
pcf,4,True,6635.5,106.0,281.0,7022.5,True
pcf,5,True,6683.8,107.0,282.0,7072.8,True
smf,1,True,46885.3,1942.0,433.0,49260.3,True
smf,2,True,43473.2,,,,True
smf,3,True,43046.3,1930.0,463.0,45439.3,True
smf,4,True,43430.4,,,,True
smf,5,True,43353.2,1968.0,485.0,45806.2,True
amf,1,False,0.0,21.0,43.0,64.0,True
amf,2,False,0.0,21.0,38.0,59.0,True
amf,3,False,0.0,21.0,37.0,58.0,True
amf,4,False,0.0,21.0,38.0,59.0,True
amf,5,False,0.0,21.0,38.0,59.0,True
upf,1,False,0.0,67.0,0.0,67.0,True
upf,2,False,0.0,67.0,0.0,67.0,True
upf,3,False,0.0,67.0,0.0,67.0,True
upf,4,False,0.0,67.0,0.0,67.0,True
upf,5,False,0.0,67.0,0.0,67.0,True
