ts,phase,amf_cache_miss_pct,amf_cpu_pct,amf_ctx_sw,amf_ipc,amf_rss_mb,ausf_cache_miss_pct,ausf_cpu_pct,ausf_ctx_sw,ausf_ipc,ausf_rss_mb,nrf_cache_miss_pct,nrf_cpu_pct,nrf_ctx_sw,nrf_ipc,nrf_rss_mb,pcf_cache_miss_pct,pcf_cpu_pct,pcf_ctx_sw,pcf_ipc,pcf_rss_mb,scp_cache_miss_pct,scp_cpu_pct,scp_ctx_sw,scp_ipc,scp_rss_mb,smf_cache_miss_pct,smf_cpu_pct,smf_ctx_sw,smf_ipc,smf_rss_mb,udm_cache_miss_pct,udm_cpu_pct,udm_ctx_sw,udm_ipc,udm_rss_mb,upf_cache_miss_pct,upf_cpu_pct,upf_ctx_sw,upf_ipc,upf_rss_mb
1774924560.752,,,0.0,0,,47.7,,0.0,0,,28.0,31.19,0.85,0,0.871,28.7,,0.0,0,,33.4,34.94,0.0,0,0.81,58.2,48.74,0.0,0,0.572,62.2,,0.0,0,,30.2,30.41,0.0,0,0.628,33.6
1774924561.915,,,0.0,0,,47.7,,0.0,0,,28.0,31.19,0.0,0,0.871,28.7,,0.0,0,,33.4,34.94,0.0,0,0.81,58.2,48.74,0.0,0,0.572,62.2,,0.0,0,,30.2,30.41,0.0,0,0.628,33.6
1774924563.094,registration,8.44,12.72,0,1.214,60.8,7.54,2.54,0,1.479,28.4,24.16,0.0,0,0.773,28.7,4.1,5.94,0,1.565,33.6,6.0,15.27,0,1.31,60.6,6.27,5.09,0,1.054,63.0,5.63,10.18,0,1.724,30.7,14.4,0.85,0,1.104,33.8
1774924564.273,registration,8.44,0.0,0,1.214,60.8,7.54,0.0,0,1.479,28.4,24.16,0.0,0,0.773,28.7,4.1,0.0,0,1.565,33.6,6.0,0.0,0,1.31,60.6,6.27,0.0,0,1.054,63.0,5.63,0.0,0,1.724,30.7,14.4,0.0,0,1.104,33.8
1774924565.441,registration,8.44,1.71,0,1.214,60.8,30.09,0.0,0,0.706,28.4,25.82,0.0,0,0.898,28.7,4.1,0.0,0,1.565,33.6,28.26,2.57,0,0.885,60.8,59.84,0.0,0,0.677,63.0,5.63,0.86,0,1.724,30.7,14.4,0.0,0,1.104,33.8
1774924566.607,registration,29.38,0.0,0,0.971,60.8,19.19,0.0,0,1.19,28.4,28.08,0.0,0,0.779,28.7,59.47,0.0,0,0.616,33.6,34.28,0.0,0,0.467,60.8,21.6,0.0,0,0.667,63.0,16.06,0.0,0,1.314,30.7,29.25,0.0,0,0.527,33.8
1774924567.776,registration,29.38,0.0,0,0.971,60.8,19.19,0.0,0,1.19,28.4,28.08,0.0,0,0.779,28.7,59.47,0.0,0,0.616,33.6,34.28,0.0,0,0.467,60.8,21.6,0.0,0,0.667,63.0,16.06,0.0,0,1.314,30.7,29.25,0.0,0,0.527,33.8
1774924568.95,registration,29.38,0.0,0,0.971,60.8,19.19,0.0,0,1.19,28.4,34.29,0.0,0,0.761,28.7,59.47,0.0,0,0.616,33.6,40.25,0.0,0,0.479,60.8,21.6,0.0,0,0.667,63.0,16.06,0.0,0,1.314,30.7,29.25,0.0,0,0.527,33.8
1774924570.126,registration,29.38,0.0,0,0.971,60.8,19.19,0.0,0,1.19,28.4,34.29,0.0,0,0.761,28.7,59.47,0.0,0,0.616,33.6,40.25,0.0,0,0.479,60.8,21.6,0.0,0,0.667,63.0,16.06,0.0,0,1.314,30.7,29.25,0.0,0,0.527,33.9
1774924571.295,registration,29.38,0.0,0,0.971,60.8,19.19,0.0,0,1.19,28.4,18.55,0.0,0,0.591,28.7,59.47,0.0,0,0.616,33.6,25.08,0.0,0,0.609,60.8,21.6,0.0,0,0.667,63.0,16.06,0.0,0,1.314,30.7,38.17,0.0,0,1.397,33.9
1774924572.469,registration,29.38,0.0,0,0.971,60.8,19.19,0.0,0,1.19,28.4,18.55,0.0,0,0.591,28.7,59.47,0.0,0,0.616,33.6,25.08,0.0,0,0.609,60.8,30.8,0.0,0,0.548,63.0,16.06,0.0,0,1.314,30.7,52.11,0.0,0,0.615,33.9
1774924573.643,registration,53.16,0.0,0,0.648,60.8,19.19,0.0,0,1.19,28.4,30.28,0.0,0,0.931,28.7,59.47,0.0,0,0.616,33.6,29.77,0.0,0,0.569,60.8,30.8,0.0,0,0.548,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924574.828,registration,53.16,0.0,0,0.648,60.8,68.47,0.0,0,0.362,28.4,27.0,0.0,0,0.716,28.7,59.47,0.0,0,0.616,33.6,35.38,0.84,0,0.492,60.8,59.1,0.0,0,0.344,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924576.008,registration,53.16,0.0,0,0.648,60.8,68.47,0.0,0,0.362,28.4,27.0,0.0,0,0.716,28.7,59.47,0.0,0,0.616,33.6,35.38,0.0,0,0.492,60.8,59.1,0.0,0,0.344,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924577.187,registration,53.16,0.0,0,0.648,60.8,68.47,0.0,0,0.362,28.4,34.69,0.0,0,0.735,28.7,61.85,0.0,0,0.628,33.6,29.52,0.0,0,0.369,60.8,59.1,0.0,0,0.344,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924578.364,registration,53.16,0.0,0,0.648,60.8,68.47,0.0,0,0.362,28.4,34.69,0.0,0,0.735,28.7,61.85,0.0,0,0.628,33.6,29.52,0.0,0,0.369,60.8,59.1,0.0,0,0.344,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924579.544,registration,53.16,0.0,0,0.648,60.8,68.47,0.0,0,0.362,28.4,35.47,0.0,0,0.749,28.7,61.85,0.0,0,0.628,33.6,47.75,0.0,0,0.727,60.8,59.1,0.0,0,0.344,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924580.729,registration,53.16,0.0,0,0.648,60.8,68.47,0.0,0,0.362,28.4,28.48,0.0,0,0.936,28.7,61.85,0.0,0,0.628,33.6,26.54,0.0,0,0.935,60.8,59.1,0.0,0,0.344,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924581.917,registration,53.16,0.0,0,0.648,60.8,68.47,0.0,0,0.362,28.4,28.48,0.0,0,0.936,28.7,61.85,0.0,0,0.628,33.6,26.54,0.0,0,0.935,60.8,59.1,0.0,0,0.344,63.0,58.1,0.0,0,0.602,30.7,67.5,0.0,0,0.822,33.9
1774924583.093,registration,27.29,0.0,0,0.408,60.8,68.47,0.0,0,0.362,28.4,25.26,0.0,0,0.92,28.7,61.85,0.0,0,0.628,33.6,22.4,0.0,0,0.947,60.8,46.47,0.0,0,0.511,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924584.263,registration,27.29,0.0,0,0.408,60.8,68.47,0.0,0,0.362,28.4,25.26,0.0,0,0.92,28.7,61.85,0.0,0,0.628,33.6,22.4,0.0,0,0.947,60.8,46.47,0.0,0,0.511,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924585.429,registration,27.29,0.0,0,0.408,60.8,67.95,0.0,0,0.366,28.4,28.62,0.0,0,0.407,28.7,61.85,0.0,0,0.628,33.6,41.13,0.0,0,0.822,60.8,62.31,0.0,0,0.537,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924586.594,registration,27.29,0.0,0,0.408,60.8,67.95,0.0,0,0.366,28.4,28.62,0.0,0,0.407,28.7,61.85,0.0,0,0.628,33.6,41.13,0.0,0,0.822,60.8,62.31,0.0,0,0.537,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924587.766,registration,27.29,0.0,0,0.408,60.8,67.95,0.0,0,0.366,28.4,29.08,0.0,0,0.781,28.7,63.83,0.0,0,0.633,33.6,34.52,0.85,0,0.816,60.8,62.31,0.0,0,0.537,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924588.927,registration,27.29,0.0,0,0.408,60.8,67.95,0.0,0,0.366,28.4,34.08,0.86,0,0.497,28.7,63.83,0.0,0,0.633,33.6,44.87,0.0,0,0.562,60.8,62.31,0.0,0,0.537,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924590.098,registration,27.29,0.0,0,0.408,60.8,67.95,0.0,0,0.366,28.4,34.08,0.0,0,0.497,28.7,63.83,0.0,0,0.633,33.6,44.87,0.0,0,0.562,60.8,62.31,0.0,0,0.537,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924591.254,registration,27.29,0.0,0,0.408,60.8,67.95,0.0,0,0.366,28.4,26.54,0.0,0,0.902,28.7,63.83,0.0,0,0.633,33.6,23.72,0.0,0,0.952,60.8,62.31,0.0,0,0.537,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924592.407,registration,27.29,0.0,0,0.408,60.8,67.95,0.0,0,0.366,28.4,26.54,0.0,0,0.902,28.7,63.83,0.0,0,0.633,33.6,23.72,0.0,0,0.952,60.8,62.31,0.0,0,0.537,63.0,54.2,0.0,0,0.304,30.7,29.0,0.0,0,0.352,33.9
1774924593.576,registration,7.82,5.13,0,1.333,61.1,9.62,0.86,0,1.352,28.4,26.18,0.0,0,0.592,28.7,4.71,3.42,0,1.388,33.6,6.61,6.84,0,1.455,61.2,8.32,3.42,0,0.989,63.3,5.88,4.28,0,1.55,31.0,18.34,0.0,0,0.94,33.9
1774924594.739,registration,47.58,0.0,0,0.631,61.1,24.85,0.0,0,0.342,28.4,44.86,0.0,0,0.529,28.7,4.71,0.0,0,1.388,33.6,36.23,0.86,0,0.768,61.2,58.71,0.0,0,0.284,63.3,19.52,0.0,0,1.118,31.0,27.91,0.0,0,0.571,33.9
1774924595.908,registration,7.28,6.84,0,1.318,61.3,4.49,1.71,0,1.116,28.4,44.86,0.0,0,0.529,28.7,6.3,1.71,0,1.328,33.6,4.94,11.97,0,1.479,61.5,8.4,4.27,0,1.163,63.4,5.29,5.98,0,1.712,31.0,23.72,0.0,0,0.922,34.1
1774924597.075,registration,7.28,0.0,0,1.318,61.3,4.49,0.0,0,1.116,28.4,27.21,0.0,0,0.776,28.7,69.29,0.0,0,0.338,33.6,37.9,1.72,0,0.616,61.5,8.4,0.0,0,1.163,63.4,5.29,0.0,0,1.712,31.0,23.72,0.0,0,0.922,34.1
1774924598.253,registration,7.28,0.0,0,1.318,61.3,4.49,0.0,0,1.116,28.4,27.21,0.0,0,0.776,28.7,69.29,0.0,0,0.338,33.6,37.9,0.0,0,0.616,61.5,8.4,0.0,0,1.163,63.4,5.29,0.0,0,1.712,31.0,23.72,0.0,0,0.922,34.1
1774924599.424,registration,7.28,0.0,0,1.318,61.3,4.49,0.0,0,1.116,28.4,37.85,0.0,0,0.882,28.7,69.29,0.0,0,0.338,33.6,51.44,0.0,0,0.471,61.5,8.4,0.0,0,1.163,63.4,5.29,0.0,0,1.712,31.0,23.72,0.0,0,0.922,34.1
1774924600.597,registration,7.28,0.0,0,1.318,61.3,4.49,0.0,0,1.116,28.4,37.85,0.0,0,0.882,28.7,69.29,0.0,0,0.338,33.6,51.44,0.0,0,0.471,61.5,8.4,0.0,0,1.163,63.4,5.29,0.0,0,1.712,31.0,23.72,0.0,0,0.922,34.2
1774924601.762,registration,7.28,0.0,0,1.318,61.3,4.49,0.0,0,1.116,28.4,31.16,0.0,0,1.007,28.7,69.29,0.0,0,0.338,33.6,22.02,0.0,0,0.415,61.5,8.4,0.0,0,1.163,63.4,5.29,0.0,0,1.712,31.0,59.04,0.0,0,1.235,34.2
1774924602.939,registration,63.88,0.0,0,0.366,61.3,4.49,0.0,0,1.116,28.4,29.84,0.0,0,0.867,28.7,69.29,0.0,0,0.338,33.6,36.14,0.0,0,0.41,61.5,8.4,0.0,0,1.163,63.4,55.24,0.0,0,0.269,31.0,66.55,0.0,0,1.405,34.2
1774924604.113,registration,63.88,0.0,0,0.366,61.3,4.49,0.0,0,1.116,28.4,29.84,0.0,0,0.867,28.7,69.29,0.0,0,0.338,33.6,36.14,0.0,0,0.41,61.5,8.4,0.0,0,1.163,63.4,55.24,0.0,0,0.269,31.0,75.59,0.0,0,0.523,34.2
1774924605.285,registration,63.88,0.0,0,0.366,61.3,63.19,0.0,0,0.61,28.4,26.1,0.0,0,0.527,28.7,69.29,0.0,0,0.338,33.6,35.7,0.0,0,0.793,61.5,62.4,0.85,0,0.421,63.4,55.24,0.0,0,0.269,31.0,29.11,0.0,0,0.66,34.2
1774924606.463,registration,63.88,0.0,0,0.366,61.3,63.19,0.0,0,0.61,28.4,26.1,0.0,0,0.527,28.7,69.29,0.0,0,0.338,33.6,35.7,0.0,0,0.793,61.5,62.4,0.0,0,0.421,63.4,55.24,0.0,0,0.269,31.0,29.11,0.0,0,0.66,34.2
1774924607.64,registration,63.88,0.0,0,0.366,61.3,63.19,0.0,0,0.61,28.4,26.78,0.0,0,0.822,28.7,67.57,0.0,0,0.34,33.6,35.97,0.0,0,0.814,61.5,62.4,0.0,0,0.421,63.4,55.24,0.0,0,0.269,31.0,29.11,0.0,0,0.66,34.2
1774924608.831,registration,63.88,0.0,0,0.366,61.3,63.19,0.0,0,0.61,28.4,33.41,0.0,0,0.752,28.7,67.57,0.0,0,0.34,33.6,46.21,0.0,0,0.353,61.5,62.4,0.0,0,0.421,63.4,55.24,0.0,0,0.269,31.0,29.11,0.0,0,0.66,34.2
1774924610.024,registration,63.88,0.0,0,0.366,61.3,63.19,0.0,0,0.61,28.4,33.41,0.0,0,0.752,28.7,67.57,0.0,0,0.34,33.6,46.21,0.0,0,0.353,61.5,62.4,0.0,0,0.421,63.4,55.24,0.0,0,0.269,31.0,29.11,0.0,0,0.66,34.2
1774924611.193,registration,63.88,0.0,0,0.366,61.3,63.19,0.0,0,0.61,28.4,25.43,0.0,0,0.992,28.7,67.57,0.0,0,0.34,33.6,25.84,0.0,0,0.603,61.7,62.4,0.0,0,0.421,63.4,55.24,0.0,0,0.269,31.0,29.11,0.0,0,0.66,34.2
1774924612.365,registration,63.88,0.0,0,0.366,61.3,63.19,0.0,0,0.61,28.4,25.43,0.0,0,0.992,28.7,67.57,0.0,0,0.34,33.6,25.84,0.0,0,0.603,61.7,62.4,0.0,0,0.421,63.4,55.24,0.0,0,0.269,31.2,29.11,0.0,0,0.66,34.2
1774924613.539,registration,66.24,0.0,0,0.37,61.3,63.19,0.0,0,0.61,28.4,26.99,0.0,0,0.892,28.7,67.57,0.0,0,0.34,33.6,32.84,0.0,0,0.521,61.7,62.4,0.0,0,0.421,63.4,62.59,0.0,0,0.638,31.2,29.11,0.0,0,0.66,34.2
1774924614.708,registration,66.24,0.0,0,0.37,61.3,63.92,0.0,0,0.345,28.4,27.37,0.0,0,0.747,28.7,67.57,0.0,0,0.34,33.6,37.14,0.86,0,0.573,61.7,68.01,0.0,0,0.357,63.4,62.59,0.0,0,0.638,31.2,29.11,0.0,0,0.66,34.2
