ts,phase,amf_cpu_pct,amf_ctx_sw,amf_rss_mb,ausf_aex_rate,ausf_cache_miss_pct,ausf_cpu_pct,ausf_ctx_sw,ausf_eenter_rate,ausf_eexit_rate,ausf_ipc,ausf_rss_mb,nrf_aex_rate,nrf_cache_miss_pct,nrf_cpu_pct,nrf_ctx_sw,nrf_eenter_rate,nrf_eexit_rate,nrf_ipc,nrf_rss_mb,pcf_aex_rate,pcf_cache_miss_pct,pcf_cpu_pct,pcf_ctx_sw,pcf_eenter_rate,pcf_eexit_rate,pcf_ipc,pcf_rss_mb,scp_aex_rate,scp_cache_miss_pct,scp_cpu_pct,scp_ctx_sw,scp_eenter_rate,scp_eexit_rate,scp_ipc,scp_rss_mb,smf_aex_rate,smf_cache_miss_pct,smf_cpu_pct,smf_ctx_sw,smf_eenter_rate,smf_eexit_rate,smf_ipc,smf_rss_mb,udm_aex_rate,udm_cache_miss_pct,udm_cpu_pct,udm_ctx_sw,udm_eenter_rate,udm_eexit_rate,udm_ipc,udm_rss_mb,upf_cpu_pct,upf_ctx_sw,upf_rss_mb
1774902949.497,,0.0,0,303.3,,,0.0,0,,,,5.9,,,0.0,0,,,,6.0,,,0.0,0,,,,6.0,,,0.0,0,,,,6.1,,,0.0,0,,,,6.0,,,0.0,0,,,,5.8,0.0,0,63.8
1774902951.328,registration,1.08,0,315.3,0,,0.0,0,0,0,,5.9,27,59.3,1.64,0,46,46,0.375,6.0,0,,3.28,0,0,0,,6.0,54,51.98,18.02,0,90,90,0.38,6.1,18,56.99,4.91,0,31,31,0.282,6.0,0,,0.0,0,0,0,,5.8,0.55,0,63.8
1774902953.181,registration,4.31,0,315.3,1938,6.57,10.26,0,3406,3406,0.552,5.9,33,33.62,0.54,0,55,55,0.809,6.0,1767,8.0,15.66,0,3063,3063,0.544,6.0,16870,5.58,54.52,0,28076,28075,0.572,6.1,3702,9.42,21.05,0,6570,6570,0.412,6.0,4009,5.38,29.69,0,6770,6770,0.528,5.8,0.54,0,64.0
1774902955.035,registration,2.17,0,315.4,237,15.0,1.62,0,405,405,0.469,5.9,0,33.62,0.0,0,0,0,0.809,6.0,356,17.0,3.24,0,606,606,0.522,6.0,3195,6.13,20.49,0,5386,5386,0.474,6.1,579,12.88,6.47,0,967,967,0.441,6.0,787,8.78,8.09,0,1290,1290,0.524,5.8,0.0,0,64.0
1774902956.877,registration,0.0,0,315.4,0,15.0,0.0,0,0,0,0.469,5.9,0,33.62,0.0,0,0,0,0.809,6.0,0,17.0,0.0,0,0,0,0.522,6.0,0,6.13,0.0,0,0,0,0.474,6.1,0,12.88,0.0,0,0,0,0.441,6.0,0,8.78,0.0,0,0,0,0.524,5.8,0.0,0,64.0
1774902958.724,registration,0.0,0,315.4,0,15.0,0.0,0,0,0,0.469,5.9,0,33.62,0.0,0,0,0,0.809,6.0,0,17.0,0.0,0,0,0,0.522,6.0,0,6.13,0.0,0,0,0,0.474,6.1,0,12.88,0.0,0,0,0,0.441,6.0,0,8.78,0.0,0,0,0,0.524,5.8,0.0,0,64.0
1774902960.565,registration,0.0,0,315.4,0,15.0,0.0,0,0,0,0.469,5.9,26,54.24,0.0,0,46,46,0.374,6.0,0,17.0,0.0,0,0,0,0.522,6.0,55,50.96,0.54,0,90,90,0.383,6.1,18,62.89,0.0,0,31,31,0.353,6.0,0,8.78,0.0,0,0,0,0.524,5.8,0.0,0,64.0
1774902962.43,registration,0.0,0,315.4,0,46.23,0.54,0,0,0,0.278,5.9,0,24.03,1.07,0,0,0,0.391,6.0,0,56.11,0.54,0,0,0,0.358,6.0,0,19.58,2.14,0,0,0,0.43,6.1,0,62.89,0.0,0,0,0,0.353,6.0,0,56.08,0.0,0,0,0,0.336,5.8,0.0,0,64.0
1774902964.284,registration,0.0,0,315.4,0,46.23,0.0,0,0,0,0.278,5.9,0,24.03,0.0,0,0,0,0.391,6.0,0,56.11,0.0,0,0,0,0.358,6.0,0,19.58,0.0,0,0,0,0.43,6.1,0,49.61,0.0,0,0,0,0.259,6.0,0,56.08,0.0,0,0,0,0.336,5.8,0.0,0,64.0
1774902966.139,registration,0.0,0,315.4,0,46.23,0.0,0,0,0,0.278,5.9,0,24.03,0.0,0,0,0,0.391,6.0,0,56.11,0.0,0,0,0,0.358,6.0,0,41.03,0.54,0,0,0,1.016,6.1,0,49.61,0.0,0,0,0,0.259,6.0,0,56.08,0.0,0,0,0,0.336,5.8,0.0,0,64.0
1774902967.987,registration,0.0,0,315.4,0,46.23,0.0,0,0,0,0.278,5.9,0,24.03,0.0,0,0,0,0.391,6.0,0,56.11,0.0,0,0,0,0.358,6.0,0,41.03,0.0,0,0,0,1.016,6.1,0,49.61,0.0,0,0,0,0.259,6.0,0,56.08,0.0,0,0,0,0.336,5.8,0.0,0,64.0
1774902969.819,registration,0.0,0,315.4,0,46.23,0.0,0,0,0,0.278,5.9,26,24.03,0.0,0,46,46,0.391,6.0,0,56.11,0.0,0,0,0,0.358,6.0,56,41.03,0.55,0,90,90,1.016,6.1,18,49.61,0.0,0,31,31,0.259,6.0,0,56.08,0.0,0,0,0,0.336,5.8,0.0,0,64.0
1774902971.674,registration,0.0,0,315.4,0,52.58,0.0,0,0,0,0.299,5.9,0,26.04,0.54,0,0,0,0.381,6.0,0,53.73,0.0,0,0,0,0.358,6.0,0,17.81,2.16,0,0,0,0.435,6.1,0,63.13,0.0,0,0,0,0.306,6.0,0,49.08,0.0,0,0,0,0.365,5.8,0.0,0,64.0
1774902973.523,registration,0.0,0,315.4,0,52.58,0.0,0,0,0,0.299,5.9,0,26.04,0.0,0,0,0,0.381,6.0,0,53.73,0.0,0,0,0,0.358,6.0,0,17.81,0.0,0,0,0,0.435,6.1,0,63.13,0.0,0,0,0,0.306,6.0,0,49.08,0.0,0,0,0,0.365,5.8,0.0,0,64.0
1774902975.379,registration,0.0,0,315.4,0,52.58,0.0,0,0,0,0.299,5.9,0,26.04,0.0,0,0,0,0.381,6.0,0,53.73,0.0,0,0,0,0.358,6.0,0,17.81,0.0,0,0,0,0.435,6.1,7,47.6,0.0,0,15,15,0.319,6.0,0,49.08,0.0,0,0,0,0.365,5.8,0.0,0,64.0
1774902977.227,registration,0.0,0,315.4,0,52.58,0.0,0,0,0,0.299,5.9,0,26.04,0.0,0,0,0,0.381,6.0,0,53.73,0.0,0,0,0,0.358,6.0,49,39.1,0.54,0,61,61,0.973,6.1,0,47.6,0.0,0,0,0,0.319,6.0,0,49.08,0.0,0,0,0,0.365,5.8,0.0,0,64.0
1774902979.075,registration,0.0,0,315.4,0,52.58,0.0,0,0,0,0.299,5.9,0,26.04,0.0,0,0,0,0.381,6.0,0,53.73,0.0,0,0,0,0.358,6.0,0,39.1,0.0,0,0,0,0.973,6.1,0,47.6,0.0,0,0,0,0.319,6.0,0,49.08,0.0,0,0,0,0.365,5.8,0.0,0,64.0
1774902980.93,registration,0.0,0,315.4,0,52.58,0.0,0,0,0,0.299,5.9,26,56.01,1.62,0,46,46,0.367,6.0,0,53.73,0.0,0,0,0,0.358,6.0,52,52.32,1.62,0,90,90,0.384,6.1,18,54.35,0.54,0,31,31,0.328,6.0,0,49.08,0.0,0,0,0,0.365,5.8,0.0,0,64.0
1774902982.771,registration,2.16,0,315.4,0,8.05,7.61,0,0,0,0.474,5.9,0,40.0,0.0,0,0,0,0.355,6.0,1078,4.13,13.04,0,1853,1853,0.559,6.0,5008,3.52,35.31,0,8487,8487,0.466,6.1,2123,5.51,17.38,0,3698,3698,0.431,6.0,981,2.87,20.1,0,1630,1630,0.543,5.8,0.54,0,64.1
1774902984.608,registration,2.16,0,315.4,568,9.63,5.44,0,981,981,0.5,5.9,17,51.93,0.0,0,29,29,0.771,6.0,981,6.97,8.71,0,1670,1670,0.536,6.0,8320,4.21,25.58,0,14394,14394,0.451,6.1,1749,8.11,12.52,0,2963,2963,0.44,6.0,1925,4.38,14.7,0,3186,3186,0.535,5.8,1.08,0,64.2
1774902986.469,registration,0.0,0,315.4,0,9.63,0.0,0,0,0,0.5,5.9,0,51.93,0.0,0,0,0,0.771,6.0,0,6.97,0.0,0,0,0,0.536,6.0,0,4.21,0.0,0,0,0,0.451,6.1,0,48.78,0.0,0,0,0,0.269,6.0,0,4.38,0.0,0,0,0,0.535,5.8,0.0,0,64.2
