ts,phase,amf_cpu_pct,amf_ctx_sw,amf_rss_mb,ausf_aex_rate,ausf_cache_miss_pct,ausf_cpu_pct,ausf_ctx_sw,ausf_eenter_rate,ausf_eexit_rate,ausf_ipc,ausf_rss_mb,nrf_aex_rate,nrf_cache_miss_pct,nrf_cpu_pct,nrf_ctx_sw,nrf_eenter_rate,nrf_eexit_rate,nrf_ipc,nrf_rss_mb,pcf_aex_rate,pcf_cache_miss_pct,pcf_cpu_pct,pcf_ctx_sw,pcf_eenter_rate,pcf_eexit_rate,pcf_ipc,pcf_rss_mb,scp_aex_rate,scp_cache_miss_pct,scp_cpu_pct,scp_ctx_sw,scp_eenter_rate,scp_eexit_rate,scp_ipc,scp_rss_mb,smf_aex_rate,smf_cache_miss_pct,smf_cpu_pct,smf_ctx_sw,smf_eenter_rate,smf_eexit_rate,smf_ipc,smf_rss_mb,udm_aex_rate,udm_cache_miss_pct,udm_cpu_pct,udm_ctx_sw,udm_eenter_rate,udm_eexit_rate,udm_ipc,udm_rss_mb,upf_aex_rate,upf_cache_miss_pct,upf_cpu_pct,upf_ctx_sw,upf_eenter_rate,upf_eexit_rate,upf_ipc,upf_rss_mb
1774919148.86,,0.0,0,137.1,,,0.0,0,,,,6.1,,45.21,0.0,0,,,0.331,6.1,,,0.0,0,,,,5.9,,51.14,0.38,0,,,0.322,6.1,,,0.0,0,,,,5.9,,,0.0,0,,,,5.9,,,0.38,0,,,,28.8
1774919150.44,registration,0.63,0,149.1,19,62.59,0.0,0,31,31,0.364,6.1,66,44.35,0.63,0,114,114,0.38,6.1,19,,0.0,0,31,31,,5.9,169,43.42,1.9,0,290,290,0.294,6.1,0,57.41,0.0,0,0,0,0.292,5.9,0,,0.0,0,0,0,,5.9,0,,0.0,0,0,0,,28.8
1774919152.036,registration,4.41,0,149.6,0,7.53,11.28,0,0,0,0.511,6.1,0,34.88,0.0,0,0,0,0.344,6.1,1590,10.35,20.68,0,2735,2735,0.543,5.9,7665,5.6,74.56,0,12916,12916,0.546,6.1,3694,11.7,23.81,0,6529,6529,0.394,6.0,1319,5.6,34.46,0,2163,2163,0.536,5.9,315,19.11,5.01,0,481,481,0.436,28.8
1774919153.632,registration,1.88,0,149.7,0,7.53,2.51,0,0,0,0.511,6.1,0,34.88,0.0,0,0,0,0.344,6.1,0,10.35,4.39,0,0,0,0.543,5.9,0,5.6,12.53,0,0,0,0.546,6.1,0,11.7,3.76,0,0,0,0.394,6.0,0,5.6,6.89,0,0,0,0.536,5.9,0,19.11,0.63,0,0,0,0.436,28.8
1774919155.217,registration,0.0,0,149.7,0,22.62,0.0,0,0,0,0.478,6.1,0,34.88,0.0,0,0,0,0.344,6.1,0,25.8,0.0,0,0,0,0.496,5.9,0,7.91,0.0,0,0,0,0.446,6.1,0,19.47,0.0,0,0,0,0.391,6.0,0,15.22,0.0,0,0,0,0.514,5.9,0,24.15,0.0,0,0,0,0.434,28.8
1774919156.794,registration,0.0,0,149.7,0,22.62,0.0,0,0,0,0.478,6.1,0,34.88,0.0,0,0,0,0.344,6.1,0,25.8,0.0,0,0,0,0.496,5.9,0,7.91,0.0,0,0,0,0.446,6.1,0,19.47,0.0,0,0,0,0.391,6.0,0,15.22,0.0,0,0,0,0.514,5.9,0,24.15,0.0,0,0,0,0.434,28.8
1774919158.388,registration,0.0,0,149.7,0,22.62,0.0,0,0,0,0.478,6.1,0,34.88,0.0,0,0,0,0.344,6.1,0,25.8,0.0,0,0,0,0.496,5.9,33,39.44,0.0,0,61,61,0.947,6.1,7,19.47,0.0,0,15,15,0.391,6.0,0,15.22,0.0,0,0,0,0.514,5.9,31,24.15,0.0,0,56,56,0.434,28.8
1774919159.984,registration,0.0,0,149.7,18,67.22,0.0,0,31,31,0.267,6.1,69,32.21,1.25,0,114,114,0.397,6.1,18,25.8,0.63,0,31,31,0.496,5.9,174,31.57,2.51,0,288,288,0.42,6.1,0,57.41,0.0,0,0,0,0.338,6.0,0,15.22,0.0,0,0,0,0.514,5.9,0,41.79,0.63,0,0,0,0.44,28.8
1774919161.576,registration,0.0,0,149.7,0,67.22,0.0,0,0,0,0.267,6.1,0,21.36,0.63,0,0,0,0.395,6.1,0,53.06,0.0,0,0,0,0.348,5.9,0,26.79,1.26,0,0,0,0.408,6.1,0,57.41,0.0,0,0,0,0.338,6.0,0,67.84,0.63,0,0,0,0.362,5.9,0,73.24,0.63,0,0,0,0.413,28.8
1774919163.152,registration,0.0,0,149.7,0,67.22,0.0,0,0,0,0.267,6.1,0,21.36,0.0,0,0,0,0.395,6.1,0,53.06,0.0,0,0,0,0.348,5.9,0,26.79,0.0,0,0,0,0.408,6.1,0,57.41,0.0,0,0,0,0.338,6.0,0,67.84,0.0,0,0,0,0.362,5.9,0,73.24,0.0,0,0,0,0.413,28.8
